"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_signal_wait_scacquire",21018,108211701966,5148525,73.59009780481993
"hsa_amd_memory_lock_to_pool",1312,32851684666,25039393,22.34100974018168
"hsa_signal_store_screlease",1080089,4174433155,3864,2.838851423413098
"hsa_executable_iterate_symbols",5789,600134431,103668,0.4081254676800687
"hsa_amd_memory_pool_allocate",957,523523020,547045,0.35602536088915376
"hsa_executable_symbol_get_info",3125548,131417257,42,0.0893711920260692
"hsa_queue_create",8,118208990,14776123,0.08038882096357934
"hsa_amd_memory_async_copy",14389,58935014,4095,0.040079153784598295
"hsa_queue_load_read_index_scacquire",1080089,52455916,48,0.035672999488486935
"hsa_queue_add_write_index_screlease",1080089,52299421,48,0.03556657400818552
"hsa_amd_memory_async_copy_on_engine",14398,50802725,3528,0.03454873579824137
"hsa_queue_load_read_index_relaxed",1065384,43974721,41,0.029905305623475445
"hsa_executable_load_agent_code_object",48,42986698,895556,0.02923339391815677
"hsa_signal_load_relaxed",286161,31677004,110,0.02154216023010252
"hsa_executable_freeze",48,24146037,503042,0.016420675325734213
"hsa_amd_memory_pool_free",399,20852442,52261,0.014180843830840804
"hsa_amd_pointer_info",59804,17610759,294,0.011976315441691395
"hsa_amd_agents_allow_access",107,10094472,94340,0.006864813770338997
"hsa_amd_signal_async_handler",14814,8086014,545,0.005498948360484224
"hsa_code_object_reader_create_from_memory",48,5833029,121521,0.003966790714956335
"hsa_signal_silent_store_relaxed",48791,5198930,106,0.0035355674130383955
"hsa_signal_create",7404,3958823,534,0.0026922242832249903
"hsa_executable_destroy",2,2102322,1051161,0.0014296982561630386
"hsa_executable_get_symbol_by_name",5789,1908651,329,0.0012979909863112499
"hsa_amd_profiling_get_dispatch_time",15317,1160490,75,0.0007891990519504836
"hsa_amd_queue_set_priority",4,397804,99451,0.0002705292933692752
"hsa_agent_get_info",5969,383190,64,0.00026059094409853237
"hsa_signal_destroy",2673,369391,138,0.0002512068410749262
"hsa_executable_create_alt",48,133328,2777,9.06706056910909e-05
"hsa_isa_get_info_alt",8,45608,5701,3.10160280238155e-05
"hsa_amd_agent_iterate_memory_pools",6,12328,2054,8.383739551780336e-06
"hsa_iterate_agents",1,7731,7731,5.257518695231487e-06
"hsa_amd_memory_copy_engine_status",8,3746,468,2.5474925665938625e-06
"hsa_amd_memory_pool_get_info",56,3667,65,2.493768083742577e-06
"hsa_amd_agent_memory_pool_get_info",48,3456,72,2.350276110557498e-06
"hsa_amd_profiling_async_copy_enable",1,1402,1402,9.534395564240777e-07
"hsa_system_get_info",15,1402,93,9.534395564240777e-07
"hsa_code_object_reader_destroy",2,891,445,6.05930559753105e-07
"hsa_agent_iterate_isas",4,821,205,5.583265876063964e-07
"hsa_amd_profiling_set_profiler_enabled",8,682,85,4.6379870005793224e-07
"hsa_system_get_major_extension_table",1,321,321,2.1829821512990653e-07
"hsa_dispatch",1060085,0,0,0.0
